"RT @dabeard: Before he was president: #Trump had cocaine at sex parties with 14- and 15 yo girls, reports @BBC @BBCPanorama h/t @yashar htt…",Positive
RT @GayRepublicSwag: If Trump decided to crowd fund the wall would you send money? Vote and Retweet.  #MAGA #WalkAway #BuildTheWall,Positive
"RT @ProudResister: DISTURBING: US Intelligence shows Putin ordered cyberattack against United States.

MORE DISTURBING: Trump briefed on th…",Negative
RT @smartdissent: #SmartDissent is a Database tracking actions by #Trump &amp; #Congress sorted by subject. See our #Taxes page: https://t.co/J…,Negative
"RT @OMGno2trump: I'm willing to bet that Michael Cohen, Mueller, Paul Manafort, Richard Gates, Michael Flynn, the state of New York and oth…",Positive
RT @brianstelter: Kimberly Guilfoyle's relationship with Donald Trump Jr. was definitely a factor in her departure from Fox. Details here:…,Positive
"RT @krassenstein: Trump tweeted moments ago about his thoughts on the NFL kneeling policy: 

""First time kneeling, out for game. Second tim…",Negative
RT @TheDemocrats: One week until the Trump administration's deadline to reunite the immigrant families they forcibly separated. We call on…,Positive
"RT @ScottAdamsSays: Obama’s CIA director acknowledges egging on the FBI’s probe of Trump and Russia, writes @KimStrassel https://t.co/7RFe5…",Positive
RT @BenKennedyTV: JUST IN: President Trump departed @WhiteHouse .. waved to press .. took no questions before boarding Marine One. https://…,Positive
"Kimberly Guilfoyle, Fox News part ways https://t.co/arkptkSOgB https://t.co/emXB0MVpPU",Positive
"RT @altNOAA: I feel small. 
https://t.co/igWh7nbS4f",Negative
RT @RonanFarrow: One woman’s detailed account of an affair and dozens of pages of documents reveal patterns in Donald Trump’s behavior with…,Positive
"RT @StockScout1: Reagan's VETO, Kills 38 year old Law ""Fairness Doctrine"" Bill
June 21, 1987
Opens the door for @FoxNews and Trump's Propag…",Positive
"RT @peterdaou: CAN WE PLEASE STOP?

There isn't an iota of evidence that people around Trump (Bolton, Pence, Kelly, Sessions, Pompeo, Mille…",Positive
"@LisaTyl45632940 @MrDane1982 Every time Trump called her “crooked,” she should have pointed out that she’d released… https://t.co/boYTJQiD1P",Positive
"@thehill Former President Obama needs to change his twitter profile and either delete the word President, or replac… https://t.co/HEBT4jwIyO",Positive
RT @robreiner: Donald Trump is so covered in criminality that the GOP’s blind allegiance has to be more than just the fear of losing their…,Positive
RT @Redpainter1: there could be video of Donald Trump having sex with underage immigrant boys while snorting cocaine and killing puppies wi…,Positive
RT @ChocoHarveyMilk: Let's focus on #TrumpRussia. The #TreasonSummit and days following showed American's that Trump is a Russian Asset and…,Positive
"RT @AdamSchiffCA: Unwilling to stand up to Trump, Republicans have capitulated again. Our intelligence agencies have said that ZTE poses a…",Positive
"Beware pundits highlighting the least defensible critiques of Trump to avoid focus on his flaws, writes @conor64: https://t.co/m2OpMyBmcE",Negative
@sl220 @pomsonfire trump supporters...are just that racist..it’s the only common ground that they have with trump.,Negative
"RT @mmpadellan: Snatching babies at the border,
Destroying US farmers with tariffs,
Played like a fiddle by #NorthKorea,
Recorded by Michae…",Negative
@Army_Of_Trump @JE_OSU @realDonaldTrump Aaaw! Are someone’s widdle feewings huwt by the twuth? Wah! https://t.co/eNvsyRKzXY,Positive
We have to realize (it might help our psyche) that in 2017 only 24% of🇺🇸identified as (R)s. That has only gone down… https://t.co/TkiGFmzjPU,Positive
"RT @JimJatras: ""Defending the president’s meeting with #Putin on behalf of #US national security, Senator @RandPaul emerged as the only vis…",Positive
RT @BetteMidler: Sarah Sanders confirms that Trump asked John Bolton to invite Putin to US in the fall. Unclear whether they mean he’ll com…,Negative
"RT @kylegriffin1: Trump has arrived at Trump National Golf Club in Bedminster, NJ, according to the pool report.

This is Trump's 172nd day…",Positive
"RT @PaulCraigRobert: The annual budget of the military/security complex is $1,000 billion. This vast sum is drawn from US taxpayers who hav…",Negative
RT @robertjeffress: President @realDonaldTrump is the most religious liberty oriented President we have ever had. Watch and share my interv…,Positive
"RT @RonanFarrow: But some of their interactions were also brazen. McDougal claims she met and posed for picture with Trump’s family, and wa…",Positive
RT @krassenstein: BREAKING:  The 9th Circuit Court of Appeals just blocked the Trump Administration's request to dismiss a lawsuit by child…,Positive
"RT @Grzabjj: @TrumpPrisonDate @JamesFourM @MichaelRCaputo @CheriJacobus @wnymedia https://t.co/B1rUlbKT51

""Caputo said he interviewed with…",Positive
RT @whatzen: I signed this petition now...pass this on to others @LibertyGirl20 @RealJamesWoods @AMike4761 @AmericanVoterUS @The_Trump_Trai…,Positive
"RT @keithboykin: Trump entered politics on a lie (birtherism), got elected on a lie (Mexico paying for his wall), took office on a lie (lar…",Positive
"RT @krassenstein: Meet Maurice Rucker, 60. 

@HomeDepot just fired him for not 'disengaging' after a customer told him: 

‘F*ck you. You’re…",Positive
"RT @piercespears: Now that we know Kayne has a signed MAGA hat, I want a personal apology from anyone who claimed liberal WOC latinx Taylor…",Positive
RT @Thomas1774Paine: Booted After 12 Years With No On-Air Goodbye -- Fox’s Howard Kurtz: Kimberly Guilfoyle Fired for Dating Donald Trump J…,Positive
"RT @krassenstein: 13 months ago Trump blocked both me &amp; my twin @EdKrassen on Twitter. We didn't roll over. We fought back. 

Ed &amp; I now ha…",Positive
⁦@3thanshane⁩ needs to be reported for hate crimes. Identified as assuring a Trump supporter. https://t.co/zEGcvdDx24,Negative
"RT @tedlieu: As we learn more about the tapes of Mr. Cohen, now is a good time to point out there are no words in the US Constitution that…",Positive
RT @MaddowBlog: What happened right after the DNC's analytics were stolen by Russian military intelligence? The Trump campaign happened to…,Positive
"RT @russellberman: Sen @JeffFlake used truly startling language on the Senate floor just now, invoking the constitutional definition of tre…",Negative
